Player Names,Player BWF Link,Singles Wins,Singles Losses,Singles Prize Money,Doubles Wins,Doubles Losses,Doubles Prize Money,Mixed Wins,Mixed Losses,Mixed Prize Money,Total Money,Career Wins,Career Losses
Milan Ludik,https://bwfbadminton.com/player/95385/milan-ludik,179,160,6471,20,14,130,10,8,564,7556,209,182
Helina Rüütel,https://bwfbadminton.com/player/75821/helina-rUeUetel,38,55,468,130,87,759,27,40,0,1604,195,182
Flore Vandenhoucke,https://bwfbadminton.com/player/65846/flore-vandenhoucke,54,65,0,73,73,1872,30,44,0,2211,157,182
Fernando Silva,https://bwfbadminton.com/player/4104/fernando-silva,105,81,775,109,85,748,12,15,36,1966,226,181
Puttita Supajirakul,https://bwfbadminton.com/player/68441/puttita-supajirakul,0,0,0,157,121,67427,66,60,12667,80498,223,181
Sannatasah Saniru,https://bwfbadminton.com/player/54151/sannatasah-saniru,75,92,6385,45,48,2335,25,41,1332,10378,145,181
Carissa Turner,https://bwfbadminton.com/player/16062/carissa-turner,61,93,400,67,77,1745,8,11,0,2462,136,181
Kennevic Asuncion,https://bwfbadminton.com/player/8166/kennevic-asuncion,50,70,3140,17,36,1350,56,75,8541,13335,123,181
Shai Geffen,https://bwfbadminton.com/player/12998/shai-geffen,34,69,0,42,78,457,19,34,0,733,95,181
Anastasiya Cherniavskaya,https://bwfbadminton.com/player/94400/anastasiya-cherniavskaya,39,87,100,33,71,171,7,23,0,531,79,181
Kim Ha Na,https://bwfbadminton.com/player/73982/kim-ha-na,2,1,53,156,76,104319,242,103,291361,396313,400,180
Takeshi Kamura,https://bwfbadminton.com/player/70969/takeshi-kamura,2,1,0,278,146,313404,41,33,5651,319556,321,180
Chong Wei Feng,https://bwfbadminton.com/player/52030/chong-wei-feng,254,175,82871,4,4,0,2,1,28,83339,260,180
Nitchaon Jindapol,https://bwfbadminton.com/player/57971/nitchaon-jindapol,231,169,187818,9,10,671,0,1,0,188909,240,180
Cheng Shao Chieh,https://bwfbadminton.com/player/14864/cheng-shao-chieh,168,121,0,26,30,0,23,29,0,397,217,180
Kevin Dennerly-Minturn,https://bwfbadminton.com/player/54739/kevin-dennerly-minturn,19,21,175,98,94,2487,60,65,538,3557,177,180
Matijs Dierickx,https://bwfbadminton.com/player/93750/matijs-dierickx,0,1,0,111,137,4901,19,42,0,5211,130,180
Kim Min Jung,https://bwfbadminton.com/player/53333/kim-min-jung,1,1,0,223,101,0,111,77,0,514,335,179
Kim So Yeong,https://bwfbadminton.com/player/55874/kim-so-yeong,0,0,0,224,130,216432,55,49,11760,228650,279,179
Lai Pei Jing,https://bwfbadminton.com/player/47007/lai-pei-jing,0,2,0,23,26,2557,194,151,97850,100803,217,179
