Player Names,Player BWF Link,Singles Wins,Singles Losses,Singles Prize Money,Doubles Wins,Doubles Losses,Doubles Prize Money,Mixed Wins,Mixed Losses,Mixed Prize Money,Total Money,Career Wins,Career Losses
Seung Hee Baek,https://bwfbadminton.com/player/50297/seung-hee-baek,1,1,0,4,1,0,0,2,0,9,5,4
Seol Am Baek,https://bwfbadminton.com/player/83764/seol-am-baek,3,1,0,2,2,0,0,1,0,9,5,4
Joshua Banda,https://bwfbadminton.com/player/74618/joshua-banda,3,2,0,2,2,0,0,0,0,9,5,4
Mikoto Chiba,https://bwfbadminton.com/player/60258/mikoto-chiba,3,2,0,0,1,0,2,1,0,9,5,4
Gi Dong Choi,https://bwfbadminton.com/player/60883/gi-dong-choi,3,2,0,2,2,0,0,0,0,9,5,4
Jin Yang Chua,https://bwfbadminton.com/player/65799/jin-yang-chua,1,2,0,4,2,0,0,0,0,9,5,4
Kush Chugh,https://bwfbadminton.com/player/88231/kush-chugh,0,0,0,5,4,0,0,0,0,9,5,4
Chow Daniel,https://bwfbadminton.com/player/97121/chow-daniel,4,3,0,1,1,0,0,0,0,9,5,4
Aidan Delaney,https://bwfbadminton.com/player/95702/aidan-delaney,4,2,0,1,2,0,0,0,0,9,5,4
Emre Duyurucu,https://bwfbadminton.com/player/80652/emre-duyurucu,0,0,0,2,1,0,3,3,0,9,5,4
Frederik Flindt,https://bwfbadminton.com/player/78151/frederik-flindt,0,0,0,3,2,0,2,2,0,9,5,4
Aditya Wahyu Gymnasti,https://bwfbadminton.com/player/55635/aditya-wahyu-gymnasti,0,0,0,3,2,0,2,2,0,9,5,4
Ki Sung Han,https://bwfbadminton.com/player/90648/ki-sung-han,0,0,0,4,3,0,1,1,0,9,5,4
Rachmad Herdiyanto,https://bwfbadminton.com/player/98620/rachmad-herdiyanto,5,4,0,0,0,0,0,0,0,9,5,4
Fu Higuchi,https://bwfbadminton.com/player/57539/fu-higuchi,2,1,0,2,2,0,1,1,0,9,5,4
Henrik Hjalgrim,https://bwfbadminton.com/player/70114/henrik-hjalgrim,3,2,0,2,2,0,0,0,0,9,5,4
Huang Tsung-I,https://bwfbadminton.com/player/78126/huang-tsung-i,1,2,0,4,2,0,0,0,0,9,5,4
Joel James,https://bwfbadminton.com/player/57713/joel-james,2,2,0,3,2,0,0,0,0,9,5,4
Su Hyuk Jang,https://bwfbadminton.com/player/70265/su-hyuk-jang,2,2,0,3,2,0,0,0,0,9,5,4
Kaylan Jensen,https://bwfbadminton.com/player/87575/kaylan-jensen,5,4,0,0,0,0,0,0,0,9,5,4
Woo Chan Jeon,https://bwfbadminton.com/player/88857/woo-chan-jeon,3,2,0,2,2,0,0,0,0,9,5,4
Young Jae Jung,https://bwfbadminton.com/player/66759/young-jae-jung,4,2,0,1,2,0,0,0,0,9,5,4
Hyo Jin Jung,https://bwfbadminton.com/player/88265/hyo-jin-jung,3,2,0,2,2,0,0,0,0,9,5,4
You Min Kang,https://bwfbadminton.com/player/62106/you-min-kang,1,2,0,4,2,0,0,0,0,9,5,4
Seung Hyeon Kang,https://bwfbadminton.com/player/84521/seung-hyeon-kang,3,2,0,2,2,0,0,0,0,9,5,4
Jeon Woo Kang,https://bwfbadminton.com/player/87131/jeon-woo-kang,3,2,0,2,2,0,0,0,0,9,5,4
Allan Karau,https://bwfbadminton.com/player/93124/allan-karau,4,2,0,1,2,0,0,0,0,9,5,4
Do Gyun Kim,https://bwfbadminton.com/player/55683/do-gyun-kim,2,2,0,3,2,0,0,0,0,9,5,4
Hyo Eun Kim,https://bwfbadminton.com/player/63253/hyo-eun-kim,1,2,0,1,1,0,3,1,0,9,5,4
Tae Yeon Kim,https://bwfbadminton.com/player/68165/tae-yeon-kim,5,2,0,0,2,0,0,0,0,9,5,4
Bo Hye Kim,https://bwfbadminton.com/player/78256/bo-hye-kim,3,2,0,2,2,0,0,0,0,9,5,4
Min Jung Kim,https://bwfbadminton.com/player/81054/min-jung-kim,2,2,0,3,2,0,0,0,0,9,5,4
Kon Zhan Li,https://bwfbadminton.com/player/57984/kon-zhan-li,4,3,0,1,1,0,0,0,0,9,5,4
Komi Kushima,https://bwfbadminton.com/player/57565/komi-kushima,1,2,0,4,2,0,0,0,0,9,5,4
Eyota Kwan,https://bwfbadminton.com/player/71414/eyota-kwan,3,2,0,2,2,0,0,0,0,9,5,4
Yong Hee Lee,https://bwfbadminton.com/player/57344/yong-hee-lee,2,2,0,3,2,0,0,0,0,9,5,4
Lee Yen-Shao,https://bwfbadminton.com/player/62416/lee-yen-shao,1,1,0,4,2,0,0,1,0,9,5,4
Lee Yen-Yu,https://bwfbadminton.com/player/65427/lee-yen-yu,5,4,0,0,0,0,0,0,0,9,5,4
Sang Jin Lee,https://bwfbadminton.com/player/73595/sang-jin-lee,1,2,0,4,2,0,0,0,0,9,5,4
A Yeon Lee,https://bwfbadminton.com/player/88461/a-yeon-lee,4,2,0,1,2,0,0,0,0,9,5,4
Lin Jia-Yin,https://bwfbadminton.com/player/86061/lin-jia-yin,1,1,0,2,2,0,2,1,0,9,5,4
Owen Marron,https://bwfbadminton.com/player/68431/owen-marron,3,3,0,0,0,0,2,1,0,9,5,4
Yong Chai Ng,https://bwfbadminton.com/player/59909/yong-chai-ng,0,0,0,5,3,0,0,1,0,9,5,4
Frederik Anker Nielsen,https://bwfbadminton.com/player/68803/frederik-anker-nielsen,3,2,0,1,1,0,1,1,0,9,5,4
Jeong Hyeon No,https://bwfbadminton.com/player/83978/jeong-hyeon-no,2,2,0,3,2,0,0,0,0,9,5,4
José Daniel Ochoa,https://bwfbadminton.com/player/81195/jose-daniel-ochoa,4,3,0,1,1,0,0,0,0,9,5,4
Seiya Ogiwara,https://bwfbadminton.com/player/80052/seiya-ogiwara,0,1,0,1,2,0,4,1,0,9,5,4
Suzuna Ono,https://bwfbadminton.com/player/67296/suzuna-ono,0,1,0,2,1,0,3,2,0,9,5,4
Enes Pars,https://bwfbadminton.com/player/88851/enes-pars,0,0,0,2,2,0,3,2,0,9,5,4
Aiyakarn Phopuech,https://bwfbadminton.com/player/66168/aiyakarn-phopuech,4,3,0,1,1,0,0,0,0,9,5,4
Mochammad Ramzy Al Irsyad Putra,https://bwfbadminton.com/player/70653/mochammad-ramzy-al-irsyad-putra,2,2,0,3,2,0,0,0,0,9,5,4
Ida Janum Riis,https://bwfbadminton.com/player/88355/ida-janum-riis,1,2,0,4,2,0,0,0,0,9,5,4
Siddhrath Saboo,https://bwfbadminton.com/player/25447/siddhrath-saboo,2,1,0,3,3,0,0,0,0,9,5,4
Tri Okta Selina,https://bwfbadminton.com/player/58458/tri-okta-selina,0,0,0,1,2,0,4,2,0,9,5,4
Hye Rim Seok,https://bwfbadminton.com/player/79648/hye-rim-seok,4,2,0,1,2,0,0,0,0,9,5,4
Supriyanto Supriyanto,https://bwfbadminton.com/player/81638/supriyanto-supriyanto,5,2,0,0,0,0,0,2,0,9,5,4
Ida Bagus Putu Putra Asana Wibawa,https://bwfbadminton.com/player/97453/ida-bagus-putu-putra-asana-wibawa,5,4,0,0,0,0,0,0,0,9,5,4
Yash Yogi,https://bwfbadminton.com/player/73930/yash-yogi,5,4,0,0,0,0,0,0,0,9,5,4
Hye Min Mok,https://bwfbadminton.com/player/58786/hye-min-mok,0,1,0,4,3,906,0,0,0,914,4,4
Lee Eun Ah,https://bwfbadminton.com/player/74419/lee-eun-ah,0,0,0,4,3,894,0,1,0,902,4,4
Ding Kexin,https://bwfbadminton.com/player/62583/ding-kexin,0,0,0,3,2,286,1,2,28,322,4,4
Chen Jia Yuan,https://bwfbadminton.com/player/74486/chen-jia-yuan,0,0,0,4,4,281,0,0,0,289,4,4
Eun Ha Lim,https://bwfbadminton.com/player/82543/eun-ha-lim,2,1,0,0,2,225,2,1,22,255,4,4
Pan Beibei,https://bwfbadminton.com/player/62704/pan-beibei,0,0,0,1,2,38,3,2,73,119,4,4
Muhammad Ali Larosh,https://bwfbadminton.com/player/97666/muhammad-ali-larosh,2,2,35,0,1,0,2,1,70,113,4,4
Jing Hung Ezekiel Ang,https://bwfbadminton.com/player/83691/jing-hung-ezekiel-ang,2,2,53,2,2,28,0,0,0,89,4,4
Raja Muhammad Hasnain,https://bwfbadminton.com/player/82393/raja-muhammad-hasnain,2,2,0,2,2,70,0,0,0,78,4,4
Austin Cindy Pratiwi,https://bwfbadminton.com/player/73839/austin-cindy-pratiwi,0,1,0,2,2,43,2,1,0,51,4,4
Kandarp Chaubey,https://bwfbadminton.com/player/65122/kandarp-chaubey,3,2,0,1,2,11,0,0,0,19,4,4
Maliq Zahran Abhista,https://bwfbadminton.com/player/55107/maliq-zahran-abhista,2,1,0,2,2,0,0,1,0,8,4,4
Muhamad Pranandha Adhitya,https://bwfbadminton.com/player/87419/muhamad-pranandha-adhitya,4,4,0,0,0,0,0,0,0,8,4,4
Hariawan Agi,https://bwfbadminton.com/player/73527/hariawan-agi,4,4,0,0,0,0,0,0,0,8,4,4
B. V. S. K. Lingeswara Rao,https://bwfbadminton.com/player/54029/b-v-s-k-lingeswara-rao,3,2,0,1,2,0,0,0,0,8,4,4
Yoon Jung Bae,https://bwfbadminton.com/player/65835/yoon-jung-bae,3,2,0,1,2,0,0,0,0,8,4,4
Akbar Basri,https://bwfbadminton.com/player/71006/akbar-basri,3,3,0,1,1,0,0,0,0,8,4,4
Xueying Zhao Beattie,https://bwfbadminton.com/player/75604/xueying-zhao-beattie,4,3,0,0,0,0,0,1,0,8,4,4
Till Borsdorf,https://bwfbadminton.com/player/76648/till-borsdorf,3,2,0,1,2,0,0,0,0,8,4,4
Sayam Bothra,https://bwfbadminton.com/player/56969/sayam-bothra,4,3,0,0,1,0,0,0,0,8,4,4
Upendra Chakali,https://bwfbadminton.com/player/82084/upendra-chakali,3,2,0,1,1,0,0,1,0,8,4,4
Chan Chia Yin,https://bwfbadminton.com/player/75258/chan-chia-yin,1,1,0,2,2,0,1,1,0,8,4,4
Chang Hsun-Yin,https://bwfbadminton.com/player/70103/chang-hsun-yin,1,2,0,2,1,0,1,1,0,8,4,4
Calvin Kennedy Chendrawinata,https://bwfbadminton.com/player/91430/calvin-kennedy-chendrawinata,4,4,0,0,0,0,0,0,0,8,4,4
Ji Min Cheon,https://bwfbadminton.com/player/57736/ji-min-cheon,1,2,0,3,2,0,0,0,0,8,4,4
Ramya Venkatesh Chickmenhalli,https://bwfbadminton.com/player/91847/ramya-venkatesh-chickmenhalli,0,0,0,1,2,0,3,2,0,8,4,4
Woo Seok Choi,https://bwfbadminton.com/player/59481/woo-seok-choi,2,3,0,2,1,0,0,0,0,8,4,4
Yoon Jung Choi,https://bwfbadminton.com/player/59569/yoon-jung-choi,0,1,0,1,2,0,3,1,0,8,4,4
Hyun Ho Choi,https://bwfbadminton.com/player/81945/hyun-ho-choi,0,2,0,4,2,0,0,0,0,8,4,4
Mads Hoelgaard Christensen,https://bwfbadminton.com/player/58596/mads-hoelgaard-christensen,0,0,0,0,0,0,4,4,0,8,4,4
Alberte Christensen,https://bwfbadminton.com/player/89402/alberte-christensen,0,2,0,4,2,0,0,0,0,8,4,4
Jeremy Dessau,https://bwfbadminton.com/player/82877/jeremy-dessau,4,3,0,0,1,0,0,0,0,8,4,4
Harum Dinar,https://bwfbadminton.com/player/98117/harum-dinar,0,0,0,3,2,0,1,2,0,8,4,4
Muhammad Ikhsan Faturrahman,https://bwfbadminton.com/player/64425/muhammad-ikhsan-faturrahman,1,3,0,3,1,0,0,0,0,8,4,4
Muhammad Arya Fauzan,https://bwfbadminton.com/player/65145/muhammad-arya-fauzan,4,4,0,0,0,0,0,0,0,8,4,4
Marco Fernandez,https://bwfbadminton.com/player/93166/marco-fernandez,1,1,0,1,1,0,2,2,0,8,4,4
Nicole Frevold,https://bwfbadminton.com/player/91550/nicole-frevold,0,0,0,1,2,0,3,2,0,8,4,4
Casper Solling Froslev,https://bwfbadminton.com/player/89362/casper-solling-froslev,0,0,0,2,2,0,2,2,0,8,4,4
Julie Gundertofte,https://bwfbadminton.com/player/74225/julie-gundertofte,0,0,0,0,2,0,4,2,0,8,4,4
Kavya Gupta,https://bwfbadminton.com/player/72956/kavya-gupta,0,0,0,4,4,0,0,0,0,8,4,4
Anel Hac Gyorkos,https://bwfbadminton.com/player/82430/anel-hac-gyorkos,2,2,0,2,2,0,0,0,0,8,4,4
Naufal Achmad Hariyono,https://bwfbadminton.com/player/75074/naufal-achmad-hariyono,4,4,0,0,0,0,0,0,0,8,4,4
Christian Hartner,https://bwfbadminton.com/player/75549/christian-hartner,2,2,0,2,2,0,0,0,0,8,4,4
Danang Haryandika,https://bwfbadminton.com/player/71604/danang-haryandika,0,0,0,4,4,0,0,0,0,8,4,4
Muhammad Alfian Hasyim,https://bwfbadminton.com/player/83919/muhammad-alfian-hasyim,0,0,0,4,3,0,0,1,0,8,4,4
Andrew He,https://bwfbadminton.com/player/81545/andrew-he,4,4,0,0,0,0,0,0,0,8,4,4
Hsieh Cheng-Yu,https://bwfbadminton.com/player/72663/hsieh-cheng-yu,1,1,0,3,3,0,0,0,0,8,4,4
Hu Hao Hsiang,https://bwfbadminton.com/player/87862/hu-hao-hsiang,0,0,0,4,3,0,0,1,0,8,4,4
Huang Jui-Hsuan,https://bwfbadminton.com/player/64023/huang-jui-hsuan,0,2,0,4,2,0,0,0,0,8,4,4
Ki Chan Jang,https://bwfbadminton.com/player/73492/ki-chan-jang,4,2,0,0,2,0,0,0,0,8,4,4
Jheng Yu Chieh,https://bwfbadminton.com/player/82732/jheng-yu-chieh,2,2,0,2,1,0,0,1,0,8,4,4
Billy Jonathan,https://bwfbadminton.com/player/70695/billy-jonathan,1,1,0,2,2,0,1,1,0,8,4,4
Rahma Elvira Jowitasari,https://bwfbadminton.com/player/85083/rahma-elvira-jowitasari,4,2,0,0,2,0,0,0,0,8,4,4
Hye Jin Jung,https://bwfbadminton.com/player/60737/hye-jin-jung,0,1,0,4,2,0,0,1,0,8,4,4
Sae Il Jung,https://bwfbadminton.com/player/91452/sae-il-jung,3,2,0,1,2,0,0,0,0,8,4,4
Ayse Sinem Kahraman,https://bwfbadminton.com/player/64968/ayse-sinem-kahraman,2,2,0,0,1,0,2,1,0,8,4,4
Sung Hee Kang,https://bwfbadminton.com/player/59567/sung-hee-kang,3,2,0,1,2,0,0,0,0,8,4,4
Kyeong Moon Kang,https://bwfbadminton.com/player/61825/kyeong-moon-kang,0,2,0,4,2,0,0,0,0,8,4,4
Min Woo Kang,https://bwfbadminton.com/player/61827/min-woo-kang,1,1,0,2,2,0,1,1,0,8,4,4
Chan Kang,https://bwfbadminton.com/player/75048/chan-kang,1,2,0,3,2,0,0,0,0,8,4,4
Omonullo Kasimov,https://bwfbadminton.com/player/73564/omonullo-kasimov,2,2,0,2,2,0,0,0,0,8,4,4
Kil Hyun Cheol,https://bwfbadminton.com/player/18575/kil-hyun-cheol,0,0,0,2,3,0,2,1,0,8,4,4
Hee Sung Kim,https://bwfbadminton.com/player/73167/hee-sung-kim,0,1,0,2,2,0,2,1,0,8,4,4
Kyu Min Kim,https://bwfbadminton.com/player/77600/kyu-min-kim,3,2,0,1,2,0,0,0,0,8,4,4
Ji Seong Kim,https://bwfbadminton.com/player/82499/ji-seong-kim,2,2,0,2,2,0,0,0,0,8,4,4
Myeong Jun Kim,https://bwfbadminton.com/player/86374/myeong-jun-kim,2,2,0,2,2,0,0,0,0,8,4,4
Jin Man Kim,https://bwfbadminton.com/player/95969/jin-man-kim,3,2,0,1,2,0,0,0,0,8,4,4
Min Kyu Kim,https://bwfbadminton.com/player/96166/min-kyu-kim,4,2,0,0,2,0,0,0,0,8,4,4
Young Woong Ko,https://bwfbadminton.com/player/86750/young-woong-ko,1,2,0,3,2,0,0,0,0,8,4,4
Sheilla Dinda Kurniawan,https://bwfbadminton.com/player/63700/sheilla-dinda-kurniawan,4,4,0,0,0,0,0,0,0,8,4,4
Diah Pitaloka Kusumantini,https://bwfbadminton.com/player/97212/diah-pitaloka-kusumantini,2,1,0,2,3,0,0,0,0,8,4,4
Min A Kwak,https://bwfbadminton.com/player/61471/min-a-kwak,0,2,0,4,2,0,0,0,0,8,4,4
Hye Won Kwon,https://bwfbadminton.com/player/63705/hye-won-kwon,3,2,0,1,2,0,0,0,0,8,4,4
Hyun Do Lee,https://bwfbadminton.com/player/67451/hyun-do-lee,2,2,0,2,2,0,0,0,0,8,4,4
Cheol Woo Lee,https://bwfbadminton.com/player/69812/cheol-woo-lee,4,3,0,0,0,0,0,1,0,8,4,4
Jianqiao Li,https://bwfbadminton.com/player/62161/jianqiao-li,0,1,0,3,2,0,1,1,0,8,4,4
Ross Lightbody,https://bwfbadminton.com/player/67669/ross-lightbody,0,1,0,3,2,0,1,1,0,8,4,4
Jakob Lindqvist,https://bwfbadminton.com/player/68149/jakob-lindqvist,0,0,0,2,3,0,2,1,0,8,4,4
Liu Shu Min,https://bwfbadminton.com/player/72672/liu-shu-min,4,4,0,0,0,0,0,0,0,8,4,4
Lo Yi Ju,https://bwfbadminton.com/player/82331/lo-yi-ju,0,0,0,3,3,0,1,1,0,8,4,4
Mpho M0Pati,https://bwfbadminton.com/player/71864/mpho-m0pati,2,1,0,0,1,0,2,2,0,8,4,4
Joverian Mahesa,https://bwfbadminton.com/player/88752/joverian-mahesa,3,2,0,0,1,0,1,1,0,8,4,4
Devins Nestar Mananga Nzoussi,https://bwfbadminton.com/player/84792/devins-nestar-mananga-nzoussi,4,3,0,0,1,0,0,0,0,8,4,4
Luis Martinez,https://bwfbadminton.com/player/92365/luis-martinez,3,2,0,1,2,0,0,0,0,8,4,4
Edwin Masiko,https://bwfbadminton.com/player/88657/edwin-masiko,1,1,0,3,2,0,0,1,0,8,4,4
Sumire Morikawa,https://bwfbadminton.com/player/93638/sumire-morikawa,3,1,0,1,2,0,0,1,0,8,4,4
Afrina Islam Mouly,https://bwfbadminton.com/player/89462/afrina-islam-mouly,1,2,0,1,0,0,2,2,0,8,4,4
Dewangga Surya Negara,https://bwfbadminton.com/player/94525/dewangga-surya-negara,4,3,0,0,1,0,0,0,0,8,4,4
Viet Ngoc Huy Ngo,https://bwfbadminton.com/player/68420/viet-ngoc-huy-ngo,2,2,0,2,2,0,0,0,0,8,4,4
Sanjeevi Padmanabhan Vasudevan,https://bwfbadminton.com/player/66578/sanjeevi-padmanabhan-vasudevan,3,2,0,1,2,0,0,0,0,8,4,4
Jun Hyung Park,https://bwfbadminton.com/player/56398/jun-hyung-park,1,2,0,3,2,0,0,0,0,8,4,4
Do Won Park,https://bwfbadminton.com/player/70483/do-won-park,2,2,0,2,1,0,0,1,0,8,4,4
Min Hyuk Park,https://bwfbadminton.com/player/93553/min-hyuk-park,4,2,0,0,2,0,0,0,0,8,4,4
Pakin Podaeng,https://bwfbadminton.com/player/80091/pakin-podaeng,2,2,0,2,2,0,0,0,0,8,4,4
Lauhit Pokuri,https://bwfbadminton.com/player/58518/lauhit-pokuri,4,4,0,0,0,0,0,0,0,8,4,4
Yudha Putra Pramudia,https://bwfbadminton.com/player/69824/yudha-putra-pramudia,4,4,0,0,0,0,0,0,0,8,4,4
Aldo Oktaviano Purnomo,https://bwfbadminton.com/player/59936/aldo-oktaviano-purnomo,4,4,0,0,0,0,0,0,0,8,4,4
Safsaf Rahima,https://bwfbadminton.com/player/57530/safsaf-rahima,4,2,0,0,1,0,0,1,0,8,4,4
Aapo Räikkönen,https://bwfbadminton.com/player/72632/aapo-rAeikkOenen,1,1,0,3,3,0,0,0,0,8,4,4
Rinitha Rajith,https://bwfbadminton.com/player/94000/rinitha-rajith,2,2,0,2,2,0,0,0,0,8,4,4
Rishitha Rajith,https://bwfbadminton.com/player/98596/rishitha-rajith,2,2,0,2,2,0,0,0,0,8,4,4
Sausan Dwi Ramadhani,https://bwfbadminton.com/player/78975/sausan-dwi-ramadhani,2,2,0,2,2,0,0,0,0,8,4,4
Harsh Rana,https://bwfbadminton.com/player/68217/harsh-rana,1,2,0,3,2,0,0,0,0,8,4,4
Charmenita Claudya Ardana Reswari,https://bwfbadminton.com/player/82644/charmenita-claudya-ardana-reswari,0,0,0,4,4,0,0,0,0,8,4,4
Jacky Ruan,https://bwfbadminton.com/player/86324/jacky-ruan,3,1,0,1,2,0,0,1,0,8,4,4
Muhammad Ardan Sagara,https://bwfbadminton.com/player/74866/muhammad-ardan-sagara,4,4,0,0,0,0,0,0,0,8,4,4
Hikari Saito,https://bwfbadminton.com/player/65124/hikari-saito,0,0,0,1,2,0,3,2,0,8,4,4
Rei Saito,https://bwfbadminton.com/player/72417/rei-saito,4,2,0,0,2,0,0,0,0,8,4,4
Amanda Santos,https://bwfbadminton.com/player/86892/amanda-santos,0,1,0,4,2,0,0,1,0,8,4,4
Muhammad Ryansyah Rani Saputra,https://bwfbadminton.com/player/93410/muhammad-ryansyah-rani-saputra,0,0,0,1,2,0,3,2,0,8,4,4
Marsielyn Yopita Sari,https://bwfbadminton.com/player/64971/marsielyn-yopita-sari,4,4,0,0,0,0,0,0,0,8,4,4
Shiina Sato,https://bwfbadminton.com/player/92408/shiina-sato,2,2,0,2,2,0,0,0,0,8,4,4
Joon Ho Seo,https://bwfbadminton.com/player/80657/joon-ho-seo,1,2,0,3,2,0,0,0,0,8,4,4
Hye Ran Seo,https://bwfbadminton.com/player/89446/hye-ran-seo,3,2,0,1,2,0,0,0,0,8,4,4
Pratama Septiahadi,https://bwfbadminton.com/player/63953/pratama-septiahadi,3,3,0,1,1,0,0,0,0,8,4,4
Erfan Shahhosseini,https://bwfbadminton.com/player/62996/erfan-shahhosseini,3,2,0,1,2,0,0,0,0,8,4,4
Gouse Shaik,https://bwfbadminton.com/player/59000/gouse-shaik,0,0,0,3,3,0,1,1,0,8,4,4
Yelizaveta Shapovalova,https://bwfbadminton.com/player/59012/yelizaveta-shapovalova,2,2,0,1,1,0,1,1,0,8,4,4
Shen Po-Chang,https://bwfbadminton.com/player/85392/shen-po-chang,1,2,0,3,2,0,0,0,0,8,4,4
Jae Won Shin,https://bwfbadminton.com/player/67286/jae-won-shin,2,2,0,2,2,0,0,0,0,8,4,4
Johan Natanoel Sirait,https://bwfbadminton.com/player/81989/johan-natanoel-sirait,4,4,0,0,0,0,0,0,0,8,4,4
Ghian Rizqy Sofyan,https://bwfbadminton.com/player/74527/ghian-rizqy-sofyan,3,1,0,1,3,0,0,0,0,8,4,4
Su Kyung Son,https://bwfbadminton.com/player/64450/su-kyung-son,0,2,0,4,2,0,0,0,0,8,4,4
Kai Sumida,https://bwfbadminton.com/player/93740/kai-sumida,0,2,0,0,0,0,4,2,0,8,4,4
Tay Ron Hsien Justin,https://bwfbadminton.com/player/71186/tay-ron-hsien-justin,3,3,0,1,1,0,0,0,0,8,4,4
Abhinav Thakur,https://bwfbadminton.com/player/74264/abhinav-thakur,4,2,0,0,2,0,0,0,0,8,4,4
Abhinn Vasisht,https://bwfbadminton.com/player/98937/abhinn-vasisht,4,4,0,0,0,0,0,0,0,8,4,4
Ishani Waldia,https://bwfbadminton.com/player/70568/ishani-waldia,1,2,0,3,2,0,0,0,0,8,4,4
Wang Ling Hsuan,https://bwfbadminton.com/player/78703/wang-ling-hsuan,4,3,0,0,1,0,0,0,0,8,4,4
Yao Zhidi,https://bwfbadminton.com/player/60780/yao-zhidi,0,0,0,4,2,0,0,2,0,8,4,4
Saydullo Yasinov,https://bwfbadminton.com/player/60388/saydullo-yasinov,2,3,0,2,1,0,0,0,0,8,4,4
Peck Yean Wei,https://bwfbadminton.com/player/71545/peck-yean-wei,0,1,0,3,2,0,1,1,0,8,4,4
So Jin Yoo,https://bwfbadminton.com/player/56845/so-jin-yoo,4,2,0,0,2,0,0,0,0,8,4,4
Hyun Bin Yoo,https://bwfbadminton.com/player/60192/hyun-bin-yoo,2,2,0,2,2,0,0,0,0,8,4,4
Seo Yeon Yoo,https://bwfbadminton.com/player/83334/seo-yeon-yoo,1,2,0,2,1,0,1,1,0,8,4,4
Jacob Zhang,https://bwfbadminton.com/player/64730/jacob-zhang,2,1,0,1,2,0,1,1,0,8,4,4
Ernick Zorrilla,https://bwfbadminton.com/player/83896/ernick-zorrilla,2,2,0,2,1,0,0,1,0,8,4,4
Yu Jia Hao,https://bwfbadminton.com/player/99965/yu-jia-hao,3,4,263,0,0,0,0,0,0,270,3,4
Yim Jong Keun,https://bwfbadminton.com/player/83911/yim-jong-keun,0,0,0,2,3,0,1,1,225,232,3,4
Sumiya Nihei,https://bwfbadminton.com/player/87747/sumiya-nihei,0,0,0,2,2,0,1,2,141,148,3,4
Raj Kumar Chander,https://bwfbadminton.com/player/79311/raj-kumar-chander,1,1,18,2,3,112,0,0,0,137,3,4
Prerana Neeluri,https://bwfbadminton.com/player/81520/prerana-neeluri,3,4,88,0,0,0,0,0,0,95,3,4
Wei Pin Hsu,https://bwfbadminton.com/player/89383/wei-pin-hsu,0,0,0,2,3,38,1,1,9,54,3,4
Juang Tz-Ren,https://bwfbadminton.com/player/93018/juang-tz-ren,0,0,0,3,4,47,0,0,0,54,3,4
Muhd Yasrin S.Ruslan,https://bwfbadminton.com/player/94822/muhd-yasrin-s-ruslan,0,0,0,3,4,36,0,0,0,43,3,4
Sanjay Jayaraj V,https://bwfbadminton.com/player/96754/sanjay-jayaraj-v,0,0,0,3,4,33,0,0,0,40,3,4
Madrid Rene,https://bwfbadminton.com/player/57522/madrid-rene,0,2,0,3,2,28,0,0,0,35,3,4
Han Yushan,https://bwfbadminton.com/player/95036/han-yushan,1,2,21,0,1,0,2,1,0,28,3,4
Girindra Maulidia Abelia,https://bwfbadminton.com/player/78898/girindra-maulidia-abelia,3,3,0,0,1,0,0,0,0,7,3,4
Brandon Adams,https://bwfbadminton.com/player/65399/brandon-adams,0,3,0,3,1,0,0,0,0,7,3,4
Jean-Marc Vianney Agossouwi,https://bwfbadminton.com/player/85855/jean-marc-vianney-agossouwi,1,2,0,2,2,0,0,0,0,7,3,4
Jae Hyok Ahn,https://bwfbadminton.com/player/89973/jae-hyok-ahn,3,1,0,0,2,0,0,1,0,7,3,4
Desta Akastiningrum,https://bwfbadminton.com/player/86709/desta-akastiningrum,0,0,0,0,3,0,3,1,0,7,3,4
Laura Alvarez,https://bwfbadminton.com/player/97359/laura-alvarez,1,2,0,2,2,0,0,0,0,7,3,4
Elene Ambarian,https://bwfbadminton.com/player/79849/elene-ambarian,0,4,0,3,0,0,0,0,0,7,3,4
Aldo Ganang Amiranda,https://bwfbadminton.com/player/82613/aldo-ganang-amiranda,0,0,0,1,3,0,2,1,0,7,3,4
Vicka Aryandini,https://bwfbadminton.com/player/96467/vicka-aryandini,0,1,0,3,3,0,0,0,0,7,3,4
Furkan Aslan,https://bwfbadminton.com/player/79738/furkan-aslan,2,2,0,0,1,0,1,1,0,7,3,4
Muhammad Raihan Ath-Thahir,https://bwfbadminton.com/player/83708/muhammad-raihan-ath-thahir,0,0,0,3,4,0,0,0,0,7,3,4
Putri Aulia,https://bwfbadminton.com/player/67990/putri-aulia,3,4,0,0,0,0,0,0,0,7,3,4
Dev Ayyappan,https://bwfbadminton.com/player/77168/dev-ayyappan,0,2,0,3,2,0,0,0,0,7,3,4
Amirul Imran Azuan,https://bwfbadminton.com/player/70020/amirul-imran-azuan,2,2,0,1,2,0,0,0,0,7,3,4
Shriya Bhagwat,https://bwfbadminton.com/player/89365/shriya-bhagwat,3,3,0,0,1,0,0,0,0,7,3,4
Yann Emerick Ismael Bledou,https://bwfbadminton.com/player/97236/yann-emerick-ismael-bledou,2,2,0,1,2,0,0,0,0,7,3,4
Elisa Borras,https://bwfbadminton.com/player/62057/elisa-borras,0,0,0,1,2,0,2,2,0,7,3,4
Nedret Selin Ceylan,https://bwfbadminton.com/player/79123/nedret-selin-ceylan,0,1,0,3,3,0,0,0,0,7,3,4
